# total_candidates=114
spell_id	class	tier	spec	piece	aura_type	name
67198	Priest	9	Shadow	4	107	Item - Priest T9 Shadow 4P Bonus (Mind Flay)
70770	Priest	10	Healer	2	4	Item - Priest T10 Healer 2P Bonus
70798	Priest	10	Healer	4	108	Item - Priest T10 Healer 4P Bonus
70800	Priest	10	Shadow	2	107	Item - Priest T10 Shadow 2P Bonus
70801	Priest	10	Shadow	4	107	Item - Priest T10 Shadow 4P Bonus
64914	Rogue	8		2	42	Item - Rogue T8 2P Bonus
64915	Rogue	8		4	108	Item - Rogue T8 4P Bonus
67209	Rogue	9		2	42	Item - Rogue T9 2P Bonus (Rupture)
67211	Rogue	9		4	107	Item - Rogue T9 4P Bonus (Hemorrhage, Sinister Strike, Backstab, and Mutilate)
70805	Rogue	10		2	108	Item - Rogue T10 2P Bonus
70803	Rogue	10		4	42	Item - Rogue T10 4P Bonus
64925	Shaman	8	Elemental	2	108	Item - Shaman T8 Elemental 2P Bonus
64928	Shaman	8	Elemental	4	4	Item - Shaman T8 Elemental 4P Bonus
64916	Shaman	8	Enhancement	2	108	Item - Shaman T8 Enhancement 2P Bonus
64917	Shaman	8	Enhancement	4	108	Item - Shaman T8 Enhancement 4P Bonus
64921	Shaman	8	Restoration	2	107	Item - Shaman T8 Restoration 2P Bonus
64922	Shaman	8	Restoration	4	107	Item - Shaman T8 Restoration 4P Bonus
67227	Shaman	9	Elemental	2	107	Item - Shaman T9 Elemental 2P Bonus (Flame Shock)
67228	Shaman	9	Elemental	4	4	Item - Shaman T9 Elemental 4P Bonus (Lava Burst)
67220	Shaman	9	Enhancement	2	107	Item - Shaman T9 Enhancement 2P Bonus (Static Shock)
67221	Shaman	9	Enhancment	4	108	Item - Shaman T9 Enhancment 4P Bonus (Stormstrike)
67225	Shaman	9	Restoration	2	108	Item - Shaman T9 Restoration 2P Bonus (Riptide)
67226	Shaman	9	Restoration	4	107	Item - Shaman T9 Restoration 4P Bonus (Chain Heal)
70811	Shaman	10	Elemental	2	4	Item - Shaman T10 Elemental 2P Bonus
70817	Shaman	10	Elemental	4	4	Item - Shaman T10 Elemental 4P Bonus
70830	Shaman	10	Enhancement	2	42	Item - Shaman T10 Enhancement 2P Bonus
70832	Shaman	10	Enhancement	4	4	Item - Shaman T10 Enhancement 4P Bonus
70807	Shaman	10	Restoration	2	42	Item - Shaman T10 Restoration 2P Bonus
70808	Shaman	10	Restoration	4	4	Item - Shaman T10 Restoration 4P Bonus
64931	Warlock	8		2	108	Item - Warlock T8 2P Bonus
64932	Warlock	8		4	107	Item - Warlock T8 4P Bonus
67230	Warlock	9		2	107	Item - Warlock T9 2P Bonus
67231	Warlock	9		4	108	Item - Warlock T9 4P Bonus (Immolate, Corruption, and Unstable Affliction)
70839	Warlock	10		2	107	Item - Warlock T10 2P Bonus
70841	Warlock	10		4	42	Item - Warlock T10 4P Bonus
64938	Warrior	8	Melee	2	42	Item - Warrior T8 Melee 2P Bonus
64939	Warrior	8	Melee	4	107	Item - Warrior T8 Melee 4P Bonus
64933	Warrior	8	Protection	2	107	Item - Warrior T8 Protection 2P Bonus
64936	Warrior	8	Protection	4	109	Item - Warrior T8 Protection 4P Bonus
67234	Warrior	9	Melee	2	107	Item - Warrior T9 Melee 2P Bonus (Berserker Stance and Battle Stance)
67268	Warrior	9	Melee	4	107	Item - Warrior T9 Melee 4P Bonus (Heroic Strike and Slam)
67269	Warrior	9	Tank	2	107	Item - Warrior T9 Tank 2P Bonus (Taunt)
67273	Warrior	9	Tank	4	107	Item - Warrior T9 Tank 4P Bonus (Shield Block)
70854	Warrior	10	Melee	2	42	Item - Warrior T10 Melee 2P Bonus
70847	Warrior	10	Melee	4	4	Item - Warrior T10 Melee 4P Bonus
70843	Warrior	10	Protection	2	108	Item - Warrior T10 Protection 2P Bonus
70844	Warrior	10	Protection	4	108	Item - Warrior T10 Protection 4P Bonus
